	 dpk16ahr203343_04090	Resting	run_01	uprun_01.nii	Bad	Fri Oct 19 10:43:15 EDT 2018	chriswag	Tilted
	 dpk16ahr203385_04393	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203385_04393	Resting	run_01	uprun_01.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203389_04896	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203389_04896	Resting	run_01	uprun_01.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203394_03953	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203394_03953	Resting	run_01	uprun_01.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203416_04514	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203416_04514	Resting	run_01	uprun_01.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203447_05058	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203483_04126	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203483_04126	Resting	run_01	uprun_01.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203510_04176	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203510_04176	Resting	run_01	uprun_01.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203633_03987	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203633_03987	Resting	run_01	uprun_01.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203678_04980	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203678_04980	Resting	run_01	uprun_01.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203704_04327	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203704_04327	Resting	run_01	uprun_01.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203713_04367	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203713_04367	Resting	run_01	uprun_01.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203724_04421	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203724_04421	Resting	run_01	uprun_01.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
